"bad","weight","older","younger","female","male","race_asian","race_black","race_hispanic","race_other","race_white","score1","score2","score4","score5","bad_predicted","portion"
"0","1","0","1","0","1","0.019032707699999998","0.0090513285000000006","0.2586519236","0.0045118318000000003","0.70875220839999997","632","569","651","353","0","1"
"0","1","0","1","0","1","0","0.90808044460000004","0.0062216911999999997","0.0152507123","0.070447151999999999","623","571","654","403","0","1"
"0","1","0","1","","","0","0.16667584690000001","0.0150549784","0.0202705031","0.79799867160000004","712","678","699","454","0","1"
"0","1","0","1","0","1","0","0.0040054095000000003","0.0064309739000000003","0.013615951100000001","0.97594766550000001","636","607","705","512","0","1"
"0","1","0","1","0","1","0","0","0.00078562849999999997","0.028483998199999999","0.9707303733","667","682","701","540","0","1"
"0","1","0","1","1","0","0","0.043854822699999997","0.024080629400000001","0.039452097399999997","0.89261245050000004","576","508","633","227","0","1"
"0","1","0","1","","","0.069766755200000002","0.45723114409999999","0.085617819400000003","0.0233408791","0.36404340219999998","582","582","665","402","0","1"
"0","1","0","1","0","1","0","0.0071801343999999996","0.00043122419999999998","0.016780555400000001","0.97560808610000005","647","595","701","617","0","1"
"0","1","0","1","0","1","0","0.0090348726000000004","0.0018040217999999999","0.029859919299999999","0.95930118630000005","705","705","668","547","0","1"
"0","1","1","0","0","1","0","0.14264121330000001","0.0085008934000000008","0.0197915585","0.82906633470000002","701","656","686","476","0","1"
"0","1","0","1","0","1","0","0","0.00098064070000000009","0.0048552843000000002","0.99416407500000004","675","668","616","379","0","1"
"0","1","0","1","1","0","0","0.26338184780000001","0.063958410699999996","0.019810634099999998","0.65284910750000003","596","584","651","358","0","1"
"0","1","0","1","0","1","0.052252853600000003","0.0627027275","0.0047386714","0.032564744600000001","0.84774100289999998","703","678","724","514","0","1"
"0","1","0","1","0","1","0","0","0.00058130119999999996","0.0021992266000000001","0.99721947219999996","693","654","704","529","0","1"
"0","1","0","1","1","0","0","0.0103439033","0.00063109449999999997","0.00095504349999999999","0.98806995870000003","647","657","648","420","0","1"
"0","1","0","1","0","1","0","0","0.0091911843999999999","0.0074798946000000002","0.98332892100000002","615","592","639","341","0","1"
"0","1","0","1","1","0","0","0.0028415667","0.0010916968999999999","0.0118061713","0.98426056520000005","654","661","745","461","0","1"
"0","1","0","1","1","0","0.018485154600000001","0.63405602750000001","0.13299169329999999","0.037891806","0.1765753186","632","590","645","366","0","1"
"0","1","0","1","1","0","0.0013399715999999999","0","0.00043042660000000002","0.0028949786000000001","0.99533462319999999","635","574","657","418","0","1"
"0","1","0","1","1","0","5.39671e-05","0.99678213360000001","0.00017335340000000001","0.0026233789999999999","0.000367167","718","687","701","518","0","1"
"0","1","0","1","0","1","0.46966378399999997","0.047179337600000003","0.16981568690000001","0.2260009265","0.087340265","667","627","678","471","0","1"
"0","1","0","1","0","1","0","0.014268692100000001","0.36719080920000002","0.093371848100000002","0.52516865059999995","677","661","667","423","0","1"
